0.49	0.55	0.30	0.17	0.35	0.27	0.21	0.31	0.27	0.35	0.16	0.12	0.24	0.34	0.38	0.41	0.02	0.11	0.31	0.25	0.22	0.18	0.28	0.12	0.11	0.11	0.12	0.03	0.33	0.33	0.42	0.34
0.09	0.51	0.19	0.22	0.51	0.38	0.38	0.52	0.28	0.49	0.15	0.18	0.24	0.29	0.42	0.34	0.19	0.44	0.34	0.16	0.37	0.19	0.10	0.24	0.17	0.13	0.41	0.13	0.30	0.36	0.60	0.13
0.15	0.44	0.27	0.19	0.48	0.41	0.44	0.52	0.25	0.48	0.18	0.26	0.23	0.29	0.38	0.36	0.21	0.43	0.34	0.18	0.39	0.18	0.07	0.27	0.17	0.13	0.48	0.17	0.30	0.37	0.60	0.15
0.05	0.42	0.12	0.29	0.45	0.36	0.36	0.49	0.17	0.42	0.11	0.19	0.24	0.25	0.39	0.33	0.19	0.41	0.34	0.15	0.35	0.18	0.05	0.24	0.15	0.14	0.42	0.14	0.28	0.37	0.57	0.12
0.61	0.83	0.74	0.28	0.21	0.20	0.16	0.20	0.36	0.49	0.29	0.60	0.08	0.45	0.25	0.16	0.23	0.17	0.08	0.25	0.10	0.03	0.02	0.03	0.10	0.05	0.14	0.36	0.32	0.23	0.32	0.28
0.38	0.33	0.40	0.21	0.35	0.25	0.49	0.04	0.02	0.38	0.06	0.25	0.28	0.29	0.29	0.26	0.38	0.23	0.30	0.21	0.10	0.13	0.17	0.20	0.28	0.16	0.05	0.08	0.29	0.41	0.40	0.42
0.43	0.59	0.29	0.26	0.36	0.27	0.22	0.31	0.27	0.35	0.17	0.12	0.25	0.34	0.40	0.43	0.02	0.12	0.31	0.25	0.21	0.19	0.28	0.12	0.10	0.12	0.12	0.02	0.34	0.35	0.41	0.35
0.64	0.64	0.43	0.30	0.32	0.14	0.33	0.14	0.30	0.38	0.32	0.20	0.34	0.44	0.27	0.15	0.02	0.11	0.45	0.05	0.11	0.11	0.09	0.03	0.08	0.15	0.17	0.08	0.06	0.38	0.27	0.23
0.11	0.30	0.12	0.07	0.40	0.38	0.45	0.44	0.11	0.06	0.28	0.19	0.30	0.56	0.67	0.12	0.17	0.21	0.26	0.17	0.14	0.32	0.08	0.40	0.15	0.01	0.25	0.09	0.32	0.43	0.27	0.41
0.60	0.56	0.72	0.47	0.27	0.23	0.17	0.10	0.13	0.32	0.56	0.56	0.19	0.48	0.25	0.33	0.12	0.01	0.18	0.18	0.18	0.08	0.10	0.08	0.03	0.16	0.24	0.48	0.49	0.33	0.28	0.36
0.36	0.26	0.31	0.15	0.44	0.45	0.53	0.43	0.07	0.40	0.09	0.30	0.42	0.54	0.34	0.62	0.16	0.17	0.25	0.25	0.05	0.05	0.07	0.09	0.12	0.22	0.13	0.12	0.33	0.37	0.36	0.43
0.77	0.52	0.44	0.26	0.29	0.30	0.46	0.22	0.04	0.19	0.24	0.17	0.18	0.29	0.53	0.12	0.24	0.41	0.33	0.24	0.03	0.10	0.02	0.07	0.14	0.29	0.20	0.11	0.26	0.34	0.43	0.23
0.40	0.18	0.56	0.44	0.29	0.29	0.30	0.27	0.27	0.15	0.17	0.44	0.40	0.65	0.09	0.22	0.22	0.18	0.23	0.43	0.07	0.03	0.06	0.09	0.02	0.09	0.23	0.10	0.24	0.31	0.32	0.42
0.69	0.41	0.27	0.37	0.09	0.20	0.28	0.33	0.02	0.20	0.05	0.04	0.15	0.36	0.31	0.37	0.19	0.28	0.40	0.20	0.03	0.09	0.15	0.06	0.14	0.30	0.27	0.09	0.07	0.20	0.45	0.38
