32
	Lasso		Lin		RF		RFE		Ridge		p_val		Mean
x23	0.15	0.01	0.02	0.11	0.08	0.00	0.07
x24	0.00	0.00	0.02	0.04	0.06	1.00	0.02
x25	0.00	0.08	0.02	0.44	0.28	0.58	0.16
x26	0.00	0.10	0.13	0.59	0.32	0.49	0.23
x27	0.00	0.25	0.06	0.96	0.94	0.04	0.44
x28	0.00	0.55	0.02	0.85	0.98	0.74	0.48
x29	0.00	0.62	0.00	0.89	0.05	0.54	0.31
x30	0.00	0.20	0.04	1.00	0.15	0.14	0.28
x31	0.00	0.43	0.03	1.00	0.31	0.11	0.35
32
	Lasso		Lin		RF		RFE		Ridge		p_val		Mean
x0	0.00	0.06	0.43	0.48	0.63	0.00	0.32
x1	0.00	0.04	0.41	0.37	0.45	0.00	0.25
x2	0.00	0.04	0.50	0.41	0.50	0.00	0.29
x3	0.00	0.00	0.62	0.00	0.04	0.01	0.13
x4	0.00	0.41	1.00	1.00	0.19	0.33	0.52
x5	0.00	0.28	0.92	0.78	0.62	0.01	0.52
x6	0.00	0.45	0.68	0.85	0.33	0.34	0.46
x7	0.00	0.42	0.57	0.93	0.20	0.02	0.42
x8	0.00	0.01	0.22	0.15	0.04	0.91	0.08
x9	0.00	0.19	0.19	0.70	1.00	0.00	0.42
x10	0.00	0.01	0.22	0.19	0.07	0.94	0.10
x11	1.00	0.01	0.19	0.26	0.12	0.02	0.32
x12	0.00	0.30	0.80	0.81	0.34	0.68	0.45
x13	0.00	0.62	0.52	0.89	0.41	0.09	0.49
x14	0.00	0.28	0.37	0.74	0.31	0.01	0.34
x15	0.00	0.94	0.30	1.00	0.54	0.51	0.56
x16	0.00	0.09	0.13	0.63	0.10	0.85	0.19
x17	0.00	0.11	0.05	0.67	0.01	0.05	0.17
x18	0.00	0.12	0.00	0.56	0.45	0.91	0.23
x19	0.00	0.11	0.16	0.44	0.56	0.00	0.25
x20	0.00	0.00	0.14	0.11	0.02	1.00	0.05
x21	0.00	0.01	0.06	0.22	0.00	0.97	0.06
