48
	Lasso		Lin		RF		RFE		Ridge		p_val		Mean
x40	0.00	0.26	0.10	0.72	0.11	0.79	0.24
x41	0.00	0.02	0.18	0.44	0.25	0.18	0.18
x42	0.00	0.10	0.08	0.49	0.07	0.79	0.15
x43	0.00	0.87	0.15	0.98	0.32	0.22	0.46
x44	0.00	0.15	0.19	0.28	0.00	0.35	0.12
x45	0.00	0.19	0.11	0.60	0.04	0.30	0.19
x46	0.00	1.00	0.06	1.00	0.28	0.08	0.47
x47	0.00	0.51	0.13	1.00	0.38	0.72	0.40
48
	Lasso		Lin		RF		RFE		Ridge		p_val		Mean
x0	0.61	0.11	0.14	0.79	0.61	0.00	0.45
x1	0.38	0.10	0.09	0.77	0.63	0.00	0.39
x2	0.24	0.07	0.16	0.47	0.44	0.00	0.28
x3	0.62	0.07	0.39	0.44	0.39	0.00	0.38
x4	1.00	0.09	1.00	0.53	0.54	0.00	0.63
x5	0.75	0.05	0.27	0.30	0.38	0.00	0.35
x6	0.00	0.07	0.08	0.51	0.40	0.00	0.21
x7	0.00	0.12	0.03	0.65	0.03	0.00	0.17
x8	0.00	0.14	0.05	0.67	0.05	0.00	0.18
x9	0.00	0.11	0.03	0.70	0.05	0.00	0.18
x10	0.00	0.16	0.02	0.40	0.23	0.00	0.16
x11	0.00	0.13	0.09	0.37	0.21	0.01	0.16
x12	0.00	0.02	0.13	0.35	0.24	0.00	0.15
x13	0.01	0.11	0.15	0.60	0.47	0.00	0.27
x14	0.00	0.12	0.15	0.72	0.55	0.00	0.31
x15	0.00	0.21	0.12	0.84	0.84	0.00	0.40
x16	0.00	0.08	0.09	0.49	0.10	0.00	0.15
x17	0.33	0.24	0.85	0.86	1.00	0.00	0.66
x18	0.00	0.16	0.04	0.74	0.03	0.00	0.19
x19	0.00	0.88	0.06	1.00	0.24	0.00	0.44
x20	0.00	0.45	0.07	1.00	0.09	0.01	0.32
x21	0.00	0.49	0.10	1.00	0.10	0.00	0.34
x22	0.00	0.09	0.04	0.42	0.26	0.00	0.16
x23	0.00	0.82	0.03	0.95	0.28	0.02	0.42
x24	0.00	0.11	0.08	0.91	0.21	0.03	0.26
x25	0.00	0.03	0.04	0.21	0.07	0.11	0.07
x26	0.00	0.08	0.04	0.26	0.04	0.17	0.08
x27	0.00	0.11	0.01	0.58	0.16	0.04	0.17
