0.37	0.24	0.22	0.10	0.21	0.25	0.26	0.26	0.21	0.28	0.34	0.28	0.28	0.08	0.11	0.17	0.47	0.19	0.22	0.18	0.10	0.20	0.24	0.19	0.09	0.39	0.28	0.29	0.13	0.27	0.37	0.24	0.01	0.15	0.13	0.27	0.17	0.16	0.17	0.14	0.11	0.20	0.03	0.25	0.03	0.30	0.18	0.28	0.07	0.25	0.26	0.31	0.43	0.45	0.36	0.20
0.31	0.24	0.12	0.36	0.19	0.11	0.44	0.38	0.25	0.25	0.34	0.42	0.27	0.17	0.30	0.25	0.27	0.24	0.13	0.28	0.23	0.27	0.35	0.39	0.17	0.11	0.24	0.14	0.27	0.49	0.37	0.22	0.35	0.41	0.32	0.29	0.24	0.14	0.04	0.33	0.22	0.07	0.21	0.48	0.27	0.14	0.29	0.25	0.15	0.40	0.59	0.40	0.51	0.35	0.31	0.20
0.41	0.23	0.72	0.53	0.35	0.49	0.21	0.11	0.20	0.26	0.17	0.09	0.16	0.15	0.17	0.39	0.47	0.19	0.40	0.05	0.50	0.09	0.23	0.22	0.06	0.50	0.22	0.06	0.19	0.37	0.27	0.10	0.20	0.08	0.26	0.06	0.04	0.07	0.04	0.07	0.06	0.05	0.22	0.41	0.08	0.24	0.08	0.23	0.23	0.08	0.18	0.13	0.29	0.33	0.31	0.10
0.34	0.46	0.40	0.34	0.34	0.24	0.29	0.17	0.32	0.45	0.42	0.51	0.10	0.19	0.12	0.04	0.05	0.06	0.02	0.06	0.03	0.24	0.36	0.47	0.41	0.40	0.52	0.41	0.25	0.39	0.15	0.19	0.29	0.34	0.22	0.11	0.13	0.25	0.38	0.14	0.32	0.23	0.08	0.23	0.15	0.14	0.17	0.18	0.17	0.31	0.43	0.46	0.33	0.37	0.50	0.36
0.44	0.33	0.29	0.07	0.31	0.34	0.61	0.27	0.28	0.36	0.54	0.38	0.27	0.14	0.12	0.20	0.50	0.11	0.16	0.09	0.25	0.37	0.51	0.35	0.17	0.34	0.31	0.09	0.10	0.22	0.11	0.19	0.16	0.21	0.21	0.05	0.24	0.11	0.12	0.04	0.13	0.06	0.10	0.21	0.11	0.30	0.26	0.28	0.22	0.24	0.26	0.14	0.36	0.45	0.37	0.17
0.40	0.10	0.72	0.38	0.41	0.34	0.04	0.12	0.13	0.20	0.34	0.32	0.24	0.47	0.10	0.47	0.13	0.17	0.51	0.34	0.45	0.42	0.33	0.30	0.11	0.40	0.18	0.27	0.13	0.07	0.29	0.45	0.20	0.10	0.33	0.05	0.05	0.04	0.04	0.02	0.05	0.10	0.17	0.18	0.25	0.44	0.20	0.07	0.27	0.03	0.43	0.46	0.44	0.41	0.27	0.23
0.49	0.44	0.21	0.18	0.23	0.36	0.47	0.20	0.24	0.25	0.47	0.38	0.33	0.16	0.02	0.03	0.04	0.04	0.02	0.01	0.01	0.35	0.26	0.24	0.38	0.27	0.42	0.36	0.29	0.32	0.35	0.13	0.03	0.17	0.21	0.12	0.12	0.07	0.23	0.10	0.07	0.06	0.22	0.22	0.13	0.19	0.11	0.18	0.08	0.22	0.25	0.24	0.35	0.34	0.38	0.26
0.38	0.26	0.75	0.49	0.65	0.62	0.44	0.11	0.21	0.31	0.25	0.17	0.16	0.16	0.09	0.46	0.36	0.03	0.12	0.10	0.29	0.36	0.31	0.27	0.17	0.46	0.35	0.07	0.17	0.30	0.27	0.17	0.23	0.26	0.23	0.02	0.04	0.04	0.00	0.03	0.08	0.02	0.19	0.33	0.19	0.30	0.24	0.17	0.21	0.09	0.30	0.30	0.07	0.04	0.36	0.08
0.49	0.44	0.30	0.31	0.36	0.35	0.31	0.35	0.29	0.31	0.28	0.17	0.18	0.26	0.11	0.05	0.05	0.04	0.08	0.02	0.05	0.06	0.27	0.20	0.37	0.42	0.33	0.05	0.20	0.27	0.24	0.32	0.34	0.33	0.23	0.18	0.13	0.22	0.30	0.26	0.15	0.02	0.15	0.06	0.15	0.25	0.16	0.19	0.13	0.29	0.46	0.38	0.41	0.30	0.35	0.05
0.45	0.31	0.76	0.69	0.41	0.65	0.43	0.10	0.01	0.31	0.20	0.11	0.15	0.14	0.09	0.02	0.11	0.04	0.02	0.03	0.13	0.39	0.26	0.22	0.20	0.42	0.32	0.10	0.37	0.47	0.45	0.29	0.30	0.16	0.12	0.04	0.02	0.08	0.04	0.07	0.04	0.03	0.28	0.30	0.23	0.15	0.09	0.16	0.16	0.05	0.38	0.23	0.15	0.21	0.39	0.10
