0.39	0.36	0.26	0.31	0.35	0.47	0.28	0.05	0.38	0.07	0.35	0.30	0.34	0.37	0.26	0.23	0.19	0.33	0.31	0.10	0.16	0.15	0.14	0.19	0.10	0.36	0.36	0.50	0.33	0.15	0.23	0.14	0.28	0.16	0.28	0.29	0.10	0.33	0.25	0.19	0.12	0.14	0.17	0.08	0.17	0.17	0.15	0.19	0.26	0.10	0.20	0.13	0.19	0.21	0.03	0.15	0.19	0.18	0.24	0.36	0.44	0.22	0.20	0.27
0.21	0.46	0.05	0.19	0.19	0.26	0.23	0.22	0.30	0.43	0.32	0.25	0.16	0.41	0.19	0.34	0.46	0.30	0.07	0.18	0.11	0.30	0.18	0.18	0.15	0.29	0.24	0.29	0.31	0.50	0.25	0.19	0.06	0.25	0.16	0.11	0.22	0.27	0.33	0.23	0.22	0.10	0.08	0.28	0.38	0.23	0.09	0.15	0.38	0.43	0.40	0.31	0.23	0.17	0.19	0.29	0.20	0.35	0.50	0.39	0.39	0.27	0.47	0.17
0.28	0.60	0.72	0.31	0.57	0.46	0.23	0.11	0.16	0.10	0.19	0.20	0.28	0.25	0.27	0.25	0.45	0.37	0.24	0.48	0.06	0.24	0.35	0.57	0.04	0.12	0.41	0.35	0.35	0.40	0.17	0.41	0.20	0.05	0.12	0.17	0.20	0.12	0.22	0.31	0.10	0.04	0.03	0.05	0.13	0.05	0.09	0.08	0.11	0.24	0.29	0.28	0.22	0.06	0.07	0.27	0.14	0.06	0.16	0.42	0.32	0.19	0.03	0.27
0.22	0.21	0.37	0.19	0.23	0.32	0.19	0.22	0.09	0.22	0.32	0.23	0.41	0.26	0.28	0.32	0.31	0.15	0.18	0.03	0.06	0.15	0.03	0.25	0.17	0.12	0.35	0.48	0.28	0.34	0.24	0.14	0.18	0.15	0.20	0.27	0.21	0.18	0.13	0.30	0.11	0.04	0.12	0.11	0.08	0.29	0.24	0.21	0.12	0.19	0.21	0.25	0.14	0.05	0.13	0.23	0.12	0.29	0.28	0.36	0.24	0.15	0.22	0.23
0.43	0.20	0.35	0.39	0.28	0.45	0.12	0.08	0.21	0.11	0.50	0.39	0.40	0.40	0.26	0.25	0.28	0.13	0.24	0.09	0.16	0.28	0.09	0.10	0.08	0.26	0.51	0.41	0.37	0.34	0.28	0.22	0.13	0.21	0.35	0.28	0.22	0.15	0.11	0.11	0.04	0.08	0.04	0.08	0.02	0.11	0.01	0.07	0.15	0.24	0.20	0.31	0.28	0.20	0.10	0.07	0.13	0.13	0.44	0.33	0.35	0.39	0.36	0.26
0.12	0.24	0.51	0.18	0.24	0.06	0.14	0.47	0.19	0.11	0.36	0.08	0.25	0.36	0.28	0.43	0.23	0.07	0.35	0.33	0.14	0.12	0.34	0.34	0.28	0.37	0.45	0.24	0.20	0.39	0.30	0.30	0.22	0.20	0.25	0.39	0.15	0.03	0.18	0.23	0.05	0.04	0.02	0.01	0.04	0.04	0.03	0.08	0.08	0.09	0.26	0.23	0.19	0.11	0.10	0.27	0.11	0.24	0.34	0.30	0.36	0.34	0.07	0.29
0.49	0.24	0.36	0.49	0.18	0.40	0.18	0.27	0.27	0.19	0.20	0.27	0.46	0.37	0.22	0.26	0.16	0.16	0.14	0.04	0.02	0.27	0.05	0.06	0.18	0.26	0.29	0.45	0.22	0.28	0.25	0.25	0.32	0.19	0.35	0.26	0.24	0.05	0.15	0.28	0.02	0.07	0.15	0.06	0.10	0.11	0.13	0.18	0.24	0.15	0.08	0.26	0.22	0.16	0.17	0.10	0.14	0.06	0.34	0.22	0.24	0.30	0.26	0.14
0.51	0.50	0.78	0.62	0.37	0.37	0.21	0.13	0.16	0.14	0.14	0.13	0.19	0.26	0.12	0.26	0.24	0.53	0.10	0.14	0.14	0.36	0.07	0.01	0.06	0.19	0.35	0.24	0.34	0.37	0.21	0.43	0.12	0.08	0.27	0.26	0.08	0.23	0.15	0.40	0.03	0.01	0.04	0.04	0.10	0.02	0.01	0.09	0.10	0.16	0.15	0.09	0.10	0.17	0.20	0.25	0.23	0.21	0.25	0.42	0.42	0.32	0.29	0.32
0.35	0.56	0.40	0.28	0.28	0.41	0.16	0.36	0.13	0.21	0.16	0.41	0.46	0.31	0.31	0.24	0.30	0.15	0.08	0.01	0.03	0.27	0.03	0.04	0.05	0.11	0.27	0.49	0.23	0.30	0.27	0.25	0.21	0.22	0.14	0.30	0.21	0.40	0.23	0.32	0.04	0.13	0.08	0.12	0.23	0.26	0.11	0.34	0.18	0.07	0.08	0.13	0.24	0.36	0.14	0.21	0.18	0.05	0.13	0.43	0.28	0.41	0.16	0.30
0.41	0.44	0.76	0.62	0.47	0.56	0.25	0.22	0.12	0.12	0.13	0.10	0.22	0.22	0.23	0.22	0.25	0.40	0.55	0.06	0.01	0.19	0.03	0.03	0.25	0.23	0.35	0.15	0.27	0.33	0.12	0.44	0.13	0.10	0.24	0.32	0.11	0.23	0.16	0.42	0.06	0.04	0.01	0.04	0.08	0.05	0.07	0.08	0.09	0.06	0.15	0.16	0.26	0.05	0.17	0.23	0.22	0.22	0.19	0.42	0.44	0.42	0.29	0.37
