0.35	0.53	0.15	0.04	0.31	0.21	0.10	0.34	0.39	0.37	0.42	0.37	0.25	0.21	0.26	0.16	0.28	0.20	0.17	0.15	0.07	0.10	0.11	0.14	0.34	0.06	0.25	0.18	0.28	0.28	0.13	0.15	0.24	0.29	0.29	0.18	0.07	0.05	0.14	0.21	0.28	0.03	0.06	0.21	0.19	0.26	0.21	0.12	0.11	0.18	0.19	0.21	0.30	0.22	0.05	0.21	0.08	0.11	0.13	0.22	0.14	0.16	0.12	0.44	0.45	0.41	0.35	0.37	0.38	0.36	0.31	0.18
0.45	0.42	0.31	0.28	0.45	0.35	0.11	0.38	0.13	0.26	0.38	0.32	0.30	0.32	0.24	0.31	0.23	0.10	0.18	0.23	0.30	0.04	0.24	0.10	0.18	0.13	0.15	0.21	0.30	0.44	0.52	0.49	0.25	0.17	0.44	0.42	0.09	0.30	0.24	0.27	0.36	0.16	0.24	0.55	0.22	0.14	0.21	0.35	0.04	0.14	0.28	0.21	0.33	0.15	0.13	0.35	0.11	0.18	0.21	0.24	0.23	0.44	0.22	0.24	0.30	0.40	0.38	0.32	0.29	0.32	0.34	0.32
0.28	0.41	0.22	0.44	0.26	0.14	0.28	0.45	0.66	0.21	0.14	0.15	0.07	0.13	0.19	0.25	0.25	0.22	0.18	0.14	0.31	0.08	0.14	0.40	0.50	0.19	0.58	0.18	0.21	0.29	0.27	0.24	0.14	0.45	0.22	0.38	0.22	0.16	0.08	0.10	0.06	0.26	0.21	0.14	0.14	0.04	0.04	0.07	0.05	0.06	0.03	0.04	0.05	0.06	0.24	0.10	0.25	0.05	0.10	0.15	0.23	0.26	0.11	0.26	0.24	0.32	0.38	0.31	0.31	0.29	0.35	0.36
0.37	0.18	0.24	0.21	0.22	0.23	0.14	0.35	0.33	0.13	0.14	0.16	0.52	0.21	0.24	0.26	0.31	0.13	0.02	0.04	0.23	0.05	0.34	0.31	0.34	0.06	0.04	0.26	0.28	0.34	0.25	0.11	0.43	0.50	0.32	0.13	0.11	0.24	0.24	0.18	0.13	0.18	0.12	0.23	0.26	0.16	0.17	0.23	0.16	0.09	0.15	0.24	0.24	0.26	0.09	0.21	0.19	0.21	0.31	0.23	0.20	0.17	0.22	0.14	0.27	0.28	0.20	0.28	0.34	0.43	0.11	0.11
0.53	0.47	0.47	0.16	0.19	0.19	0.38	0.18	0.52	0.35	0.27	0.48	0.39	0.33	0.15	0.14	0.18	0.10	0.14	0.05	0.22	0.14	0.11	0.06	0.17	0.09	0.10	0.29	0.34	0.30	0.34	0.19	0.26	0.11	0.29	0.27	0.10	0.26	0.28	0.20	0.31	0.34	0.20	0.17	0.30	0.13	0.14	0.05	0.07	0.23	0.21	0.08	0.03	0.03	0.08	0.13	0.14	0.19	0.27	0.19	0.28	0.21	0.09	0.32	0.31	0.42	0.47	0.48	0.52	0.41	0.31	0.27
0.06	0.18	0.19	0.44	0.12	0.11	0.39	0.39	0.40	0.22	0.08	0.03	0.15	0.25	0.27	0.36	0.42	0.50	0.35	0.03	0.22	0.17	0.25	0.29	0.27	0.17	0.58	0.12	0.24	0.44	0.20	0.37	0.24	0.21	0.29	0.33	0.11	0.20	0.13	0.32	0.11	0.23	0.19	0.09	0.20	0.11	0.09	0.04	0.04	0.02	0.04	0.05	0.11	0.05	0.17	0.15	0.26	0.34	0.07	0.18	0.20	0.18	0.15	0.23	0.06	0.31	0.42	0.34	0.13	0.30	0.08	0.35
0.36	0.49	0.19	0.12	0.30	0.14	0.26	0.07	0.41	0.28	0.32	0.31	0.23	0.27	0.30	0.18	0.31	0.18	0.03	0.02	0.01	0.02	0.09	0.25	0.33	0.04	0.01	0.35	0.12	0.18	0.20	0.17	0.26	0.39	0.25	0.32	0.20	0.23	0.29	0.22	0.33	0.21	0.26	0.21	0.17	0.19	0.10	0.08	0.04	0.09	0.12	0.15	0.19	0.09	0.13	0.07	0.22	0.09	0.12	0.28	0.08	0.27	0.02	0.31	0.28	0.23	0.23	0.32	0.48	0.38	0.25	0.28
0.49	0.37	0.46	0.41	0.21	0.18	0.43	0.21	0.73	0.17	0.10	0.19	0.17	0.11	0.13	0.29	0.31	0.22	0.09	0.07	0.47	0.11	0.14	0.41	0.05	0.02	0.10	0.11	0.20	0.30	0.10	0.28	0.18	0.12	0.44	0.43	0.25	0.12	0.15	0.25	0.09	0.15	0.12	0.22	0.43	0.04	0.01	0.10	0.07	0.05	0.04	0.01	0.09	0.05	0.24	0.13	0.16	0.18	0.19	0.23	0.36	0.28	0.10	0.18	0.18	0.05	0.34	0.30	0.25	0.25	0.28	0.39
0.23	0.35	0.30	0.42	0.47	0.28	0.24	0.25	0.22	0.04	0.08	0.26	0.25	0.28	0.27	0.38	0.17	0.29	0.02	0.05	0.06	0.02	0.11	0.03	0.08	0.03	0.03	0.23	0.18	0.23	0.34	0.28	0.38	0.05	0.11	0.32	0.22	0.21	0.18	0.57	0.34	0.21	0.22	0.29	0.11	0.16	0.20	0.18	0.16	0.18	0.16	0.16	0.32	0.02	0.22	0.22	0.22	0.41	0.31	0.21	0.19	0.18	0.16	0.07	0.19	0.11	0.33	0.28	0.13	0.30	0.24	0.27
0.38	0.39	0.48	0.29	0.40	0.34	0.40	0.35	0.65	0.21	0.18	0.24	0.15	0.19	0.22	0.13	0.13	0.09	0.03	0.04	0.02	0.08	0.17	0.35	0.41	0.05	0.13	0.12	0.25	0.30	0.12	0.18	0.16	0.30	0.27	0.25	0.28	0.15	0.30	0.31	0.27	0.11	0.08	0.22	0.29	0.03	0.09	0.05	0.05	0.03	0.02	0.05	0.02	0.06	0.22	0.17	0.23	0.10	0.14	0.16	0.19	0.27	0.13	0.18	0.23	0.35	0.41	0.42	0.42	0.37	0.17	0.25
