0.35	0.18	0.43	0.54	0.19	0.30	0.27	0.37	0.50	0.41	0.27	0.15	0.23	0.18	0.07	0.10	0.32	0.14	0.29	0.43	0.17	0.30	0.40	0.08	0.26	0.20	0.21	0.25	0.21	0.10	0.15	0.02	0.18	0.34	0.28	0.14	0.09	0.09	0.36	0.41
0.16	0.29	0.48	0.40	0.19	0.22	0.24	0.32	0.29	0.23	0.17	0.11	0.11	0.12	0.11	0.32	0.65	0.33	0.12	0.46	0.21	0.16	0.20	0.25	0.19	0.29	0.22	0.06	0.10	0.08	0.19	0.14	0.28	0.14	0.23	0.23	0.14	0.45	0.47	0.51
0.38	0.34	0.59	0.77	0.45	0.09	0.24	0.04	0.17	0.12	0.54	0.49	0.31	0.27	0.16	0.16	0.39	0.34	0.24	0.40	0.15	0.13	0.31	0.11	0.21	0.02	0.05	0.07	0.04	0.02	0.17	0.09	0.07	0.24	0.26	0.17	0.14	0.42	0.31	0.31
0.40	0.27	0.26	0.33	0.19	0.28	0.34	0.19	0.40	0.28	0.01	0.03	0.05	0.03	0.03	0.14	0.35	0.46	0.51	0.51	0.35	0.21	0.42	0.17	0.19	0.29	0.15	0.19	0.22	0.09	0.29	0.10	0.25	0.12	0.14	0.30	0.26	0.19	0.26	0.37
0.28	0.35	0.20	0.58	0.37	0.26	0.24	0.29	0.37	0.31	0.09	0.11	0.18	0.17	0.10	0.44	0.37	0.27	0.12	0.41	0.14	0.25	0.37	0.26	0.15	0.03	0.19	0.05	0.01	0.11	0.09	0.14	0.20	0.18	0.20	0.31	0.38	0.41	0.43	0.36
0.30	0.35	0.59	0.12	0.58	0.43	0.10	0.20	0.14	0.17	0.33	0.23	0.26	0.37	0.18	0.35	0.36	0.48	0.34	0.45	0.04	0.03	0.23	0.42	0.21	0.01	0.05	0.06	0.01	0.05	0.19	0.08	0.12	0.37	0.22	0.16	0.35	0.45	0.34	0.31
0.36	0.44	0.45	0.36	0.26	0.20	0.29	0.34	0.44	0.36	0.00	0.02	0.03	0.03	0.01	0.23	0.40	0.43	0.22	0.26	0.31	0.36	0.40	0.21	0.12	0.07	0.16	0.23	0.19	0.08	0.25	0.26	0.22	0.14	0.15	0.27	0.15	0.23	0.33	0.21
0.34	0.57	0.50	0.63	0.80	0.20	0.11	0.13	0.14	0.22	0.06	0.11	0.02	0.09	0.08	0.18	0.35	0.51	0.10	0.25	0.42	0.44	0.37	0.31	0.12	0.05	0.08	0.01	0.06	0.01	0.31	0.29	0.13	0.14	0.14	0.29	0.29	0.37	0.14	0.09
0.42	0.57	0.30	0.42	0.29	0.17	0.27	0.22	0.36	0.25	0.07	0.03	0.01	0.04	0.03	0.47	0.27	0.44	0.10	0.19	0.23	0.18	0.30	0.32	0.29	0.11	0.17	0.08	0.22	0.08	0.18	0.21	0.28	0.27	0.20	0.22	0.43	0.47	0.27	0.15
0.52	0.58	0.71	0.54	0.54	0.10	0.13	0.08	0.08	0.07	0.09	0.04	0.04	0.23	0.09	0.25	0.35	0.35	0.15	0.27	0.37	0.33	0.46	0.29	0.20	0.06	0.02	0.05	0.02	0.07	0.29	0.17	0.28	0.11	0.12	0.12	0.27	0.40	0.26	0.30
