24
	Lasso		Lin		RF		RFE		Ridge		p_val		Mean
x0	0.00	0.09	0.96	0.32	0.34	0.00	0.34
x1	0.00	0.21	0.90	0.89	0.89	0.00	0.58
x2	0.00	0.14	1.00	0.63	0.59	0.00	0.47
x3	0.00	0.18	0.09	0.53	1.00	0.00	0.36
x4	0.00	0.35	0.21	0.74	0.00	0.00	0.26
x5	0.00	0.45	0.06	0.68	0.16	0.00	0.27
x6	0.00	0.39	0.13	0.79	0.92	0.00	0.45
x7	0.00	0.08	0.18	0.42	0.10	0.00	0.16
x8	0.00	0.05	0.09	0.21	0.05	0.02	0.08
x9	0.00	0.25	0.13	1.00	0.10	0.00	0.30
x10	0.00	1.00	0.15	1.00	0.38	0.00	0.51
x11	0.00	0.37	0.06	1.00	0.07	0.00	0.30
x12	0.00	0.20	0.01	0.58	0.46	0.03	0.25
x13	0.00	0.39	0.01	0.84	0.95	0.00	0.44
x14	0.00	0.25	0.07	0.47	0.69	0.54	0.30
x15	0.84	0.02	0.03	0.16	0.15	0.00	0.24
x16	1.00	0.01	0.04	0.05	0.10	0.00	0.24
x17	0.70	0.01	0.00	0.11	0.10	0.00	0.18
x18	0.00	0.04	0.04	0.26	0.12	1.00	0.09
x19	0.00	0.00	0.07	0.00	0.04	0.53	0.02
x20	0.00	0.03	0.04	0.37	0.17	0.57	0.12
x21	0.00	0.31	0.00	0.95	0.58	0.70	0.37
x22	0.00	0.89	0.01	1.00	0.02	0.47	0.38
x23	0.00	0.47	0.01	1.00	0.28	0.88	0.35
24
	Lasso		Lin		RF		RFE		Ridge		p_val		Mean
x0	0.00	0.03	0.30	0.16	0.13	0.75	0.12
x1	0.00	0.36	1.00	0.84	1.00	0.02	0.64
x2	0.00	0.04	0.62	0.21	0.20	1.00	0.21
x3	0.00	0.82	0.27	1.00	0.54	0.12	0.53
x4	0.00	0.53	0.20	0.74	0.14	0.09	0.32
x5	0.00	0.35	0.33	0.79	0.35	0.05	0.36
x6	0.00	0.06	0.33	0.26	0.20	0.14	0.17
x7	0.00	0.07	0.40	0.32	0.23	0.02	0.20
x8	0.00	0.08	0.28	0.37	0.23	0.22	0.19
x9	0.00	0.10	0.26	0.47	0.26	0.16	0.22
x10	0.00	0.58	0.18	1.00	0.13	0.03	0.38
x11	0.00	1.00	0.26	0.63	0.43	0.17	0.46
x12	0.00	0.34	0.06	0.58	0.17	0.84	0.23
x13	0.00	0.79	0.10	1.00	0.38	0.13	0.45
x14	0.00	0.61	0.03	0.95	0.54	0.16	0.43
x15	0.55	0.00	0.00	0.11	0.05	0.04	0.14
x16	1.00	0.08	0.12	0.42	0.23	0.00	0.37
x17	0.20	0.00	0.14	0.00	0.00	0.13	0.07
x18	0.00	0.14	0.11	0.53	0.03	0.76	0.16
x19	0.00	0.48	0.06	1.00	0.07	0.46	0.32
x20	0.00	0.32	0.07	0.89	0.05	0.09	0.27
x21	0.00	0.67	0.08	1.00	0.11	0.49	0.37
x22	0.00	0.01	0.05	0.05	0.20	1.00	0.06
x23	0.00	0.58	0.03	0.68	0.10	0.57	0.28
24
	Lasso		Lin		RF		RFE		Ridge		p_val		Mean
x0	0.92	0.52	0.77	1.00	0.63	0.00	0.77
x1	1.00	0.63	0.99	1.00	0.76	0.00	0.88
x2	0.94	0.55	0.79	1.00	0.68	0.00	0.79
