72
	Lasso		Lin		RF		RFE		Ridge		p_val		Mean
x0	0.00	0.02	0.42	0.66	0.65	0.01	0.35
x1	0.52	0.03	0.49	0.60	1.00	0.00	0.53
x2	0.00	0.00	0.47	0.09	0.17	0.08	0.15
x3	0.00	0.00	0.02	0.16	0.01	0.14	0.04
x4	0.00	0.02	0.23	0.58	0.72	0.00	0.31
x5	0.00	0.00	0.55	0.15	0.34	0.01	0.21
x6	0.00	0.00	0.23	0.04	0.21	0.01	0.10
x7	0.00	0.01	1.00	0.30	0.40	0.00	0.34
x8	0.00	0.02	0.70	0.45	0.77	0.00	0.39
x9	0.00	0.50	0.08	1.00	0.26	0.15	0.37
x10	0.00	0.66	0.08	0.99	0.36	0.14	0.42
x11	0.00	0.38	0.08	0.85	0.56	0.02	0.37
x12	0.00	0.21	0.13	0.84	0.09	0.02	0.25
x13	0.00	0.14	0.05	0.82	0.03	0.04	0.21
x14	0.00	0.13	0.01	0.81	0.34	0.01	0.26
x15	0.00	0.06	0.00	0.73	0.03	0.10	0.16
x16	0.00	0.15	0.01	0.75	0.48	0.03	0.28
x17	0.00	0.03	0.21	0.42	0.32	0.08	0.20
x18	0.00	0.05	0.09	0.64	0.07	0.30	0.17
x19	0.00	0.02	0.03	0.61	0.11	0.00	0.15
x20	0.05	0.01	0.08	0.18	0.05	0.13	0.07
x21	0.00	0.02	0.05	0.40	0.02	0.06	0.10
x22	0.00	0.03	0.05	0.43	0.04	0.00	0.11
x23	0.00	0.06	0.09	0.52	0.05	0.11	0.14
x24	1.00	0.03	0.06	0.25	0.36	0.00	0.34
x25	0.00	0.00	0.07	0.01	0.20	0.00	0.06
x26	0.00	0.13	0.07	0.79	0.28	0.16	0.25
x27	0.00	0.02	0.02	0.51	0.33	0.77	0.18
x28	0.00	0.44	0.05	0.87	0.04	0.00	0.28
x29	0.00	0.39	0.01	1.00	0.00	0.05	0.28
x30	0.00	0.02	0.03	0.49	0.09	0.03	0.13
x31	0.00	0.12	0.12	0.27	0.24	0.01	0.15
x32	0.00	0.24	0.04	0.76	0.16	0.03	0.24
x33	0.00	0.50	0.08	0.88	0.01	0.01	0.29
x34	0.00	0.40	0.00	0.97	0.09	0.11	0.29
x35	0.00	0.07	0.02	0.72	0.10	0.03	0.18
x36	0.00	0.01	0.00	0.31	0.03	0.88	0.07
x37	0.00	0.00	0.00	0.13	0.13	0.04	0.05
x38	0.00	0.04	0.03	0.39	0.25	0.36	0.14
x39	0.00	0.05	0.01	0.54	0.44	0.47	0.21
x40	0.00	0.04	0.10	0.57	0.71	0.02	0.28
x41	0.00	0.01	0.00	0.07	0.07	0.82	0.03
x42	0.00	0.01	0.00	0.28	0.02	0.01	0.06
x43	0.00	0.03	0.09	0.70	0.25	0.54	0.21
x44	0.00	0.14	0.01	0.78	0.00	0.81	0.19
x45	0.54	0.02	0.04	0.46	0.26	0.21	0.26
x46	0.67	0.01	0.01	0.24	0.13	0.00	0.21
x47	0.35	0.01	0.00	0.12	0.11	0.13	0.12
x48	0.44	0.00	0.00	0.00	0.10	0.04	0.11
x49	0.78	0.00	0.01	0.03	0.10	0.01	0.18
x50	0.55	0.01	0.00	0.21	0.17	0.03	0.19
x51	0.78	0.00	0.00	0.06	0.19	0.01	0.21
x52	0.75	0.01	0.00	0.34	0.40	0.16	0.30
x53	0.68	0.01	0.03	0.22	0.14	0.01	0.22
x54	0.00	0.00	0.03	0.10	0.10	0.46	0.05
x55	0.00	0.05	0.04	0.63	0.34	0.19	0.21
x56	0.00	0.01	0.02	0.19	0.18	0.52	0.08
x57	0.00	0.01	0.09	0.36	0.09	0.48	0.11
x58	0.00	0.03	0.00	0.37	0.24	0.15	0.13
x59	0.00	0.09	0.01	0.55	0.47	0.10	0.22
x60	0.00	0.01	0.03	0.48	0.18	0.03	0.14
x61	0.00	0.05	0.06	0.69	0.01	0.13	0.16
x62	0.00	0.01	0.03	0.33	0.24	0.35	0.12
x63	0.00	0.57	0.01	1.00	0.61	0.11	0.44
x64	0.00	1.00	0.05	1.00	0.19	0.01	0.45
x65	0.00	0.86	0.04	1.00	0.15	0.30	0.41
x66	0.00	0.60	0.01	0.90	0.25	0.71	0.35
x67	0.00	0.78	0.03	0.91	0.15	0.93	0.37
x68	0.00	0.57	0.00	0.93	0.40	0.78	0.38
x69	0.00	0.83	0.00	0.94	0.03	1.00	0.36
x70	0.00	0.47	0.00	0.96	0.12	0.17	0.31
x71	0.00	0.08	0.01	0.67	0.12	0.27	0.18
72
	Lasso		Lin		RF		RFE		Ridge		p_val		Mean
x0	0.00	0.09	0.54	0.63	1.00	0.17	0.45
x1	0.00	0.10	0.57	0.51	0.91	0.42	0.42
x2	0.00	0.04	0.18	0.39	0.93	0.10	0.31
x3	0.00	0.04	0.36	0.43	0.58	0.45	0.28
x4	0.00	0.03	1.00	0.37	0.83	0.06	0.45
x5	0.00	0.06	0.57	0.45	0.65	0.42	0.35
x6	0.00	0.01	0.13	0.16	0.27	0.86	0.11
x7	0.00	0.03	0.55	0.36	0.94	0.07	0.38
x8	0.00	0.01	0.26	0.13	0.26	0.86	0.13
x9	0.00	0.22	0.00	0.85	0.25	0.20	0.26
x10	0.00	0.50	0.15	0.91	0.32	0.35	0.38
x11	0.00	0.11	0.36	0.94	0.21	0.10	0.32
x12	0.00	0.18	0.22	0.99	0.09	0.05	0.30
x13	0.00	0.18	0.33	0.57	0.54	0.64	0.32
x14	0.00	0.05	0.35	0.27	0.54	0.95	0.24
x15	0.00	0.10	0.10	0.78	0.57	0.77	0.31
x16	0.00	0.29	0.53	0.22	0.12	0.04	0.23
x17	0.00	0.06	0.19	0.12	0.12	0.07	0.10
x18	0.00	0.01	0.44	0.18	0.28	0.49	0.18
x19	0.18	0.02	0.37	0.30	0.28	0.11	0.23
x20	0.00	0.10	0.29	0.67	0.42	0.38	0.30
x21	0.00	0.00	0.00	0.03	0.15	0.30	0.04
x22	0.00	0.10	0.22	0.61	0.28	0.32	0.24
x23	0.00	0.01	0.25	0.10	0.16	0.29	0.10
x24	0.00	0.01	0.65	0.24	0.01	0.27	0.18
x25	0.00	0.00	0.28	0.09	0.30	0.11	0.13
x26	0.00	0.02	0.14	0.28	0.31	0.24	0.15
x27	0.00	0.06	0.27	0.64	0.09	0.65	0.21
x28	0.00	0.07	0.21	0.93	0.28	0.02	0.30
x29	0.00	0.44	0.32	0.87	0.58	0.21	0.44
x30	0.00	1.00	0.25	0.96	0.39	0.54	0.52
