0.34	0.58	0.47	0.36	0.26	0.27	0.45	0.16	0.08	0.30	0.51	0.30	0.25	0.44	0.30	0.24	0.24	0.18	0.09	0.02	0.12	0.37	0.38	0.35
0.12	0.64	0.21	0.53	0.32	0.36	0.17	0.20	0.19	0.22	0.38	0.46	0.23	0.45	0.43	0.14	0.37	0.07	0.16	0.32	0.27	0.37	0.06	0.28
0.77	0.88	0.79	0.51	0.30	0.08	0.63	0.17	0.86	0.23	0.40	0.36	0.17	0.13	0.12	0.05	0.04	0.06	0.24	0.16	0.36	0.16	0.29	0.37
0.40	0.45	0.40	0.39	0.43	0.43	0.05	0.01	0.02	0.59	0.32	0.48	0.38	0.52	0.32	0.13	0.13	0.06	0.24	0.38	0.11	0.41	0.36	0.41
0.32	0.35	0.54	0.37	0.33	0.10	0.15	0.15	0.23	0.18	0.23	0.46	0.11	0.57	0.53	0.11	0.23	0.02	0.14	0.37	0.30	0.33	0.42	0.37
0.43	0.32	0.47	0.36	0.09	0.14	0.40	0.14	0.30	0.48	0.38	0.42	0.45	0.27	0.46	0.17	0.05	0.05	0.22	0.08	0.46	0.28	0.45	0.41
0.37	0.57	0.60	0.20	0.36	0.41	0.04	0.00	0.04	0.39	0.24	0.34	0.08	0.61	0.48	0.12	0.10	0.09	0.11	0.41	0.29	0.33	0.31	0.42
0.74	0.49	0.69	0.20	0.15	0.10	0.07	0.05	0.18	0.11	0.35	0.23	0.41	0.26	0.61	0.02	0.00	0.04	0.38	0.22	0.48	0.19	0.11	0.23
0.50	0.64	0.51	0.28	0.32	0.34	0.09	0.11	0.02	0.08	0.29	0.41	0.61	0.45	0.29	0.15	0.34	0.07	0.46	0.26	0.15	0.25	0.20	0.24
0.68	0.67	0.71	0.20	0.07	0.11	0.21	0.04	0.10	0.36	0.17	0.38	0.50	0.44	0.62	0.08	0.02	0.05	0.39	0.38	0.41	0.10	0.39	0.35
