0.49	0.56	0.29	0.17	0.35	0.27	0.23	0.32	0.27	0.36	0.16	0.12	0.23	0.37	0.38	0.41	0.02	0.12	0.31	0.25	0.21	0.18	0.28	0.12	0.10	0.11	0.13	0.03	0.34	0.34	0.41	0.34
0.08	0.45	0.13	0.29	0.48	0.38	0.38	0.52	0.16	0.43	0.16	0.19	0.25	0.28	0.42	0.34	0.19	0.42	0.33	0.18	0.37	0.16	0.09	0.28	0.15	0.13	0.41	0.13	0.28	0.37	0.58	0.14
0.65	0.81	0.74	0.29	0.23	0.20	0.16	0.21	0.40	0.54	0.37	0.56	0.08	0.45	0.29	0.15	0.22	0.18	0.09	0.26	0.11	0.03	0.02	0.04	0.08	0.05	0.13	0.34	0.33	0.24	0.32	0.29
0.36	0.34	0.40	0.21	0.33	0.26	0.49	0.03	0.01	0.39	0.05	0.26	0.27	0.30	0.29	0.29	0.38	0.22	0.29	0.21	0.11	0.13	0.18	0.20	0.27	0.16	0.05	0.07	0.28	0.40	0.40	0.42
0.50	0.33	0.38	0.31	0.31	0.31	0.35	0.25	0.08	0.46	0.26	0.12	0.11	0.31	0.39	0.41	0.16	0.16	0.32	0.17	0.03	0.19	0.03	0.22	0.09	0.24	0.16	0.19	0.26	0.33	0.44	0.30
0.21	0.14	0.65	0.44	0.08	0.27	0.38	0.32	0.20	0.20	0.16	0.41	0.25	0.52	0.15	0.46	0.12	0.22	0.32	0.45	0.05	0.03	0.06	0.03	0.09	0.11	0.24	0.23	0.08	0.19	0.37	0.47
0.69	0.41	0.32	0.30	0.09	0.19	0.28	0.34	0.01	0.20	0.05	0.04	0.15	0.35	0.31	0.37	0.20	0.27	0.40	0.19	0.03	0.09	0.15	0.06	0.13	0.31	0.27	0.09	0.07	0.20	0.45	0.38
0.73	0.59	0.76	0.60	0.25	0.23	0.21	0.12	0.52	0.61	0.10	0.19	0.11	0.41	0.27	0.18	0.24	0.12	0.16	0.43	0.01	0.02	0.03	0.03	0.15	0.15	0.38	0.22	0.31	0.43	0.16	0.18
0.58	0.49	0.38	0.42	0.37	0.15	0.30	0.30	0.07	0.53	0.05	0.07	0.05	0.07	0.40	0.38	0.23	0.31	0.17	0.41	0.18	0.28	0.11	0.16	0.25	0.40	0.11	0.28	0.20	0.22	0.25	0.53
0.70	0.76	0.67	0.60	0.39	0.29	0.28	0.26	0.02	0.48	0.18	0.04	0.26	0.39	0.11	0.35	0.27	0.19	0.31	0.50	0.08	0.05	0.04	0.05	0.19	0.19	0.07	0.32	0.40	0.34	0.17	0.38
