56
	Lasso		Lin		RF		RFE		Ridge		p_val		Mean
x0	0.00	0.02	1.00	0.39	0.45	0.00	0.37
x1	0.00	0.02	0.13	0.41	0.65	0.00	0.24
x2	0.00	0.01	0.43	0.24	0.40	0.01	0.22
x3	0.00	0.01	0.24	0.18	0.07	0.03	0.10
x4	0.00	0.01	0.19	0.31	0.53	0.00	0.21
x5	0.00	0.03	0.08	0.45	0.68	0.00	0.25
x6	0.00	0.02	0.30	0.33	0.63	0.00	0.26
x7	0.00	0.02	0.22	0.35	0.70	0.07	0.26
x8	0.00	0.18	0.07	0.63	0.17	0.00	0.21
x9	0.00	0.31	0.03	0.88	0.16	0.03	0.28
x10	0.00	0.41	0.00	0.98	0.29	0.01	0.34
x11	0.00	0.36	0.03	0.96	0.07	0.06	0.28
x12	0.00	0.32	0.09	0.90	0.08	0.01	0.28
x13	0.00	0.01	0.04	0.08	0.25	0.15	0.08
x14	0.00	0.02	0.02	0.29	0.24	0.00	0.11
x15	0.00	0.02	0.01	0.80	0.03	0.09	0.17
x16	1.00	0.12	0.03	0.71	0.49	0.00	0.47
x17	0.00	0.03	0.02	0.49	0.39	0.00	0.19
x18	0.00	0.05	0.06	0.78	0.20	0.23	0.22
x19	0.00	0.09	0.05	0.75	0.01	0.15	0.18
x20	0.00	0.01	0.03	0.27	0.20	0.01	0.10
x21	0.00	0.05	0.02	0.84	0.10	0.00	0.20
x22	0.00	0.22	0.11	0.57	0.29	0.00	0.24
x23	0.00	0.12	0.03	0.67	0.13	0.00	0.19
x24	0.00	0.09	0.02	0.16	0.17	0.12	0.09
x25	0.00	0.68	0.03	1.00	0.24	0.01	0.39
x26	0.00	0.39	0.05	0.94	0.00	0.05	0.28
x27	0.00	0.08	0.02	1.00	0.37	0.05	0.29
x28	0.00	0.02	0.05	0.55	0.03	0.10	0.13
x29	0.00	0.10	0.04	0.53	0.68	1.00	0.27
x30	0.00	0.02	0.03	0.82	1.00	0.00	0.37
x31	0.00	0.07	0.01	0.51	0.63	0.56	0.24
x32	0.00	0.00	0.01	0.02	0.04	0.53	0.01
x33	0.00	0.02	0.02	0.65	0.07	0.30	0.15
x34	0.00	0.03	0.02	0.43	0.17	0.06	0.13
x35	0.92	0.01	0.06	0.20	0.18	0.00	0.27
x36	0.69	0.00	0.02	0.04	0.12	0.02	0.17
x37	0.50	0.00	0.02	0.14	0.13	0.00	0.16
x38	0.28	0.01	0.01	0.37	0.17	0.11	0.17
x39	0.53	0.00	0.03	0.06	0.07	0.01	0.14
x40	0.36	0.00	0.01	0.10	0.09	0.05	0.11
x41	0.64	0.01	0.01	0.22	0.14	0.01	0.20
x42	0.00	0.01	0.02	0.12	0.01	0.93	0.03
x43	0.00	0.10	0.03	0.61	0.52	0.14	0.25
x44	0.00	0.00	0.02	0.00	0.13	0.03	0.03
x45	0.00	0.13	0.04	0.73	0.60	0.16	0.30
x46	0.00	0.09	0.00	0.69	0.13	0.10	0.18
x47	0.00	0.15	0.02	0.76	0.47	0.55	0.28
x48	0.00	0.01	0.01	0.25	0.09	0.38	0.07
x49	0.00	0.14	0.11	0.47	0.54	0.20	0.25
x50	0.00	0.36	0.05	0.86	0.02	0.43	0.26
x51	0.00	0.49	0.02	1.00	0.04	0.48	0.31
x52	0.00	0.81	0.03	1.00	0.30	0.16	0.43
x53	0.00	1.00	0.01	1.00	0.22	0.24	0.45
x54	0.00	0.64	0.03	0.92	0.21	0.64	0.36
x55	0.00	0.20	0.00	0.59	0.23	0.70	0.20
56
	Lasso		Lin		RF		RFE		Ridge		p_val		Mean
x0	0.00	0.04	1.00	0.41	0.12	0.86	0.31
x1	0.00	0.01	0.38	0.18	0.65	0.30	0.24
x2	0.00	0.00	0.47	0.06	0.06	0.94	0.12
x3	0.00	0.05	0.43	0.51	0.79	0.04	0.36
x4	0.00	0.02	0.37	0.37	0.17	1.00	0.19
x5	0.00	0.01	0.14	0.14	0.26	0.68	0.11
x6	0.00	0.06	0.57	0.55	1.00	0.20	0.44
x7	0.00	0.58	0.17	0.96	0.21	0.15	0.38
x8	0.00	0.14	0.38	0.69	0.04	0.05	0.25
x9	0.00	0.09	0.35	0.67	0.14	0.52	0.25
x10	0.00	0.24	0.06	1.00	0.38	0.06	0.34
x11	0.00	0.46	0.21	1.00	0.42	0.24	0.42
x12	0.00	0.19	0.28	0.73	0.15	0.16	0.27
x13	0.00	0.01	0.29	0.04	0.49	0.72	0.17
x14	0.43	0.02	0.38	0.27	0.39	0.04	0.30
x15	0.00	0.15	0.22	0.86	0.04	0.80	0.25
x16	0.00	0.08	0.21	0.49	0.59	0.06	0.27
x17	0.21	0.01	0.38	0.25	0.37	0.07	0.24
x18	0.00	0.00	0.32	0.00	0.34	0.07	0.13
x19	0.00	0.02	0.79	0.31	0.29	0.43	0.28
x20	0.00	0.13	0.22	0.75	0.04	0.64	0.23
x21	0.00	0.22	0.17	0.92	0.05	0.05	0.27
x22	0.00	0.37	0.12	0.61	0.63	0.91	0.35
x23	0.00	0.36	0.07	1.00	0.54	0.11	0.39
x24	0.00	0.02	0.52	0.10	0.22	0.32	0.17
x25	0.00	0.03	0.27	0.22	0.05	0.14	0.11
x26	0.00	0.25	0.19	0.33	0.45	0.68	0.24
x27	0.00	0.01	0.19	0.20	0.30	0.06	0.14
x28	0.00	0.41	0.17	0.59	0.16	0.61	0.27
x29	0.00	0.63	0.12	0.90	0.78	0.77	0.49
x30	0.00	0.34	0.16	0.65	0.68	0.06	0.37
x31	0.00	0.10	0.25	0.47	0.28	0.36	0.22
x32	0.00	0.38	0.07	0.80	0.52	0.36	0.35
x33	0.00	0.28	0.28	0.84	0.65	0.07	0.41
x34	0.00	0.20	0.14	0.76	0.48	0.30	0.32
x35	0.99	0.01	0.12	0.12	0.21	0.00	0.29
x36	0.00	0.04	0.24	0.43	0.48	0.35	0.24
x37	0.31	0.01	0.09	0.24	0.06	0.05	0.14
x38	0.00	0.01	0.06	0.08	0.03	0.52	0.04
x39	1.00	0.01	0.23	0.16	0.23	0.02	0.33
x40	0.00	0.02	0.25	0.39	0.46	0.24	0.22
x41	0.19	0.00	0.15	0.02	0.00	0.13	0.07
x42	0.00	0.17	0.10	0.57	0.19	0.78	0.21
x43	0.00	0.54	0.07	0.88	0.90	0.42	0.48
x44	0.00	0.22	0.15	0.63	0.35	0.22	0.27
x45	0.00	0.02	0.11	0.29	0.29	0.17	0.14
x46	0.00	0.22	0.27	0.78	0.16	0.56	0.29
x47	0.00	0.26	0.09	0.82	0.07	0.09	0.25
x48	0.00	0.05	0.24	0.45	0.03	0.20	0.15
x49	0.00	0.60	0.12	0.98	0.32	0.42	0.40
x50	0.00	1.00	0.03	1.00	0.93	0.04	0.59
x51	0.00	0.96	0.00	0.94	0.11	0.14	0.40
x52	0.00	0.88	0.06	1.00	0.61	0.70	0.51
x53	0.00	0.56	0.24	0.71	0.24	0.90	0.35
x54	0.00	0.37	0.26	0.53	0.41	0.38	0.31
x55	0.00	0.04	0.27	0.35	0.36	0.16	0.20
56
	Lasso		Lin		RF		RFE		Ridge		p_val		Mean
x0	0.61	0.06	0.18	0.57	0.63	0.00	0.41
x1	0.00	0.06	0.02	0.53	0.56	0.00	0.23
x2	1.00	0.10	0.58	0.92	1.00	0.00	0.72
x3	0.71	0.07	0.39	0.86	0.63	0.00	0.53
x4	0.60	0.05	0.11	0.47	0.54	0.00	0.35
x5	0.78	0.08	0.11	0.69	0.79	0.00	0.49
x6	0.00	0.05	0.16	0.41	0.43	0.00	0.21
x7	0.00	0.05	0.04	0.29	0.16	0.02	0.11
x8	0.00	0.10	0.02	0.63	0.23	0.00	0.20
x9	0.00	0.26	0.01	0.73	0.30	0.01	0.26
x10	0.00	0.14	0.02	0.67	0.00	0.00	0.17
x11	0.00	0.02	0.02	0.10	0.31	0.00	0.09
x12	0.00	0.07	0.04	0.45	0.26	0.00	0.16
